name,pronouns,speakerLink,role,description,talk,image
Doug Ferraz,he / him,https://io.google/2022/speakers/doug-ferraz/,Systems Engineer,"Doug is a systems engineer on the Nest Partner Engineering team. His focus is on helping Google Home partners create useful smart home products that integrate seamlessly. Doug supports early access program companies, creates tools, and writes documentation with the goal of making development of Matter devices with Google widely accessible and relevant, from the hobbyist to our largest partners.","Building, testing, and deploying smart home devices for Google Home",https://io.google/2022/speakers/dd62cfdb-86a7-4980-893d-a935f92812a3_240.webp
Eduardo Villasenor,,https://io.google/2022/speakers/eduardo-villasenor/,Product Manager,"Eduardo is a product manager for the SDK Runtime in the Android Privacy Sandbox. Prior to his current role, he was a product manager in Google Ads focused on Audience products, a startup founder, and led teams in Display and Mobile Advertising at Microsoft. Eduardo earned his bachelor's in computer science from the University of Victoria.",Overview of the Privacy Sandbox on Android,https://io.google/2022/speakers/ee5ae01a-0522-4349-9831-64c438678fb3_240.webp
Eiji Kitamura,he / him,https://io.google/2022/speakers/eiji-kitamura/,Developer Advocate,"Eiji is a developer advocate on the Google Chrome team, working on Trust and Safety. He's trying to make security, privacy, identity, and payments on the web more open, seamless, and frictionless.",A path to a world without passwords,https://io.google/2022/speakers/94772c49-2428-4fa2-b296-d3dfe80929aa_240.webp
Elena Doty,she / her,https://io.google/2022/speakers/elena-doty/,Software Engineer,"Elena is a software engineer on the Firebase team, based in Cambridge, Massachusetts. Her work on the Crashlytics iOS and Android SDKs aims to help mobile developers monitor and improve their apps' stability. Elena earned her bachelor's degree in computer science from Dartmouth in 2020 and is currently studying for a master's degree in cybersecurity at New York University. In her free time, she enjoys distance running, hiking, and planning trips.",Monitoring your app's stability with Firebase Crashlytics,https://io.google/2022/speakers/8f0b359b-feb4-42e8-92d5-00252bbfeedf_240.webp
Emila Yang,she / her,https://io.google/2022/speakers/emila-yang/,"Senior Interaction Designer, Task Mate","Emila leads experience design on Task Mate. She has been designing for the Next Billion Users at Google for the last 4 years. Prior to that, she worked on experimental projects at Google’s Creative Lab, developed early stage ventures at BCG Digital Ventures, and worked in various startups. Emila has a bachelor’s degree in design computing with a minor in information technology from the University of Sydney.",Building for everyone: The importance of representative data,https://io.google/2022/speakers/e78f632f-07e8-4a4b-959c-ccd4431540f9_240.webp
Emma Twersky,she / her,https://io.google/2022/speakers/emma-twersky/,Developer Relations Engineer,"Emma is a Developer Relations engineer at Google, focusing on Angular and open source. She is passionate about helping developers make the web more accessible, usable, and beautiful!",State of Angular,https://io.google/2022/speakers/c6907309-63ad-4c64-b32e-e3e351043ed4_240.webp
Eric  Lai,he / him,https://io.google/2022/speakers/eric-lai/,Product Manager,"Eric Lai is a product manager at Google, focusing on Augmented Reality services and platforms (including ARCore). Prior to Google, Eric worked in management consulting. He has a Masters of Business Administration from the Wharton School at the University of Pennsylvania.",What's new in AR,https://io.google/2022/speakers/d7b9cc5a-67ce-403f-93ad-500f6d093746_240.webp
Fahd Imtiaz,he / him,https://io.google/2022/speakers/fahd-imtiaz/,"Product Manager, Chrome OS","Fahd is responsible for Android apps and developer experience on Chrome OS. Prior to Google he worked as a product manager across various industries for companies including Lightspeed, Tulip Retail, PointClickCare, and BlackBerry. Fahd holds a bachelor's in engineering from McGill University and a master's in management science from University of Waterloo.",What’s new in Chrome OS,https://io.google/2022/speakers/99bfade4-91d5-4864-b637-405d2cf958e3_240.webp
Felipe Hlibco,,https://io.google/2022/speakers/felipe-hlibco/,Developer Relations Engineer,"Felipe is a senior engineer in the Business Communications Developer Relations team enabling messaging partners to create outstanding conversational experiences for brands and consumers. He is focused on delivering a superb developer experience with Business Messages and shaping what tomorrow's chat experiences will look like. Felipe holds a Bachelor of Science in industrial engineering and an extension in Business Administration from Univeristy of California at Berkeley. Prior to Google, Felipe led product engineering teams in fintech and marketplace startups in the Bay Area, focused on engineering excellence and product adoption.",Conversational AI for business messaging,https://io.google/2022/speakers/b76261cf-38e6-4957-ae61-99839d13945d_240.webp
Florina Muntenescu,,https://io.google/2022/speakers/florina-muntenescu/,Android Developer Relations Engineer,"Florina is working as an Android Developer Relations engineer at Google, helping developers build beautiful apps with Jetpack Compose. She has been working with Android for more than 10 years, previous work covering news at upday, payment solutions at payleven and navigation services at Garmin.",What's new in Android,https://io.google/2022/speakers/a4173770-fbc2-4a9e-9b87-33a4e2cbb486_240.webp
Francesco Romano,,https://io.google/2022/speakers/francesco-romano/,"Developer Relations Engineer, Android","Francesco is a Developer Relations engineer, working on improving the developer experience on different form factors for Android, especially tablets and foldable devices.",Update your app for the larger screen,https://io.google/2022/speakers/2818aab5-4891-44b8-9ca6-2d73166d3c3c_240.webp
Francois Chollet,,https://io.google/2022/speakers/francois-chollet/,Software Engineer,Francois is a longtime software engineer on the Keras team. He specializes in deep learning tooling and infrastructure. He also does AI research on the side.,Easier data preprocessing with Keras,https://io.google/2022/speakers/40ee8d7c-3bc9-4da6-819d-4143b3bf7c9e_240.webp
Georges Nabaa,,https://io.google/2022/speakers/georges-nabaa/,"Partner Engineer Lead, Google Assistant","Georges leads an engineering team supporting Google's top partners on Assistant. Prior to joining Google, Georges was the lead product manager landing a successful exit for a top 5 productivity/virtualization app on Android & iOS. Prior to that, he spent 6 years developing software design tools for Field Programmable gate arrays for high-reliability aerospace applications (Ex: Mars Exploration Rovers). Georges holds a Master of Electrical and Computer Engineering from the University of Toronto and a Master of Engineering Management from Stanford University.",How Google Assistant’s architecture powers voice features in your apps,https://io.google/2022/speakers/bfd060b4-a03e-4eb0-9032-29e85069f551_240.webp
Gilberto Cocchi,,https://io.google/2022/speakers/gilberto-cocchi/,Web Ecosystem Consultant,"Gilberto is a web ecosystem consultant at Google, focusing on Chrome related initiatives such as Core Web Vitals, Progressive Web Apps, and others. He has 13 years of experience focusing primarily on web front end technologies with a strong focus on web performance. It Italy, he completed a bachelor's in computer science (web technologies).",Core Web Vitals in the real world,https://io.google/2022/speakers/062901b1-f816-4826-b8fa-98227e9f6bb8_240.webp
Greg Spencer,he / him,https://io.google/2022/speakers/greg-spencer/,Senior Software Engineer,"Greg is the framework technical lead for Flutter's desktop team. He joined Google in 2006, and the Flutter team in 2017, and over that time has worked on all aspects of the product. Before Google, Greg worked at TiVo, Silicon Graphics, and various startups. He has a bachelor's degree in software engineering from Colorado State University and a master's degree in computer graphics from Cornell University.",Diving into Flutter desktop,https://io.google/2022/speakers/a76adb3f-31d7-452f-a2dc-e9badaf4de3f_240.webp
Guillaume Laforge,he / him,https://io.google/2022/speakers/guillaume-laforge/,Cloud Developer Advocate,"Guillaume is a developer advocate for Google Cloud, focusing on serverless technologies. He's also a Java champion, and the co-founder of the Apache Groovy programming language.",Asynchronous operations in your UI using Workflows and Firestore,https://io.google/2022/speakers/610a048c-ecf6-4986-af87-9b422281ef8d_240.webp
Gus Martins,he / him,https://io.google/2022/speakers/gus-martins/,Google AI Developer Advocate,"Gus is a developer advocate in the Google AI team. His main passion is making machine learning easier for developers. As of late, he's been working with TensorFlow Hub and helping make ML models more accessible to everyone.",Adding machine learning to your developer toolbox,https://io.google/2022/speakers/3b7b2be9-1846-49b7-854c-60028983e61c_240.webp
Hadas Shahar,she / her,https://io.google/2022/speakers/hadas-shahar/,"Technical Program Manager Lead, Privacy Sandbox","Hadas leads program management for Google's Privacy Sandbox on Android initiative, which aims to create technologies that both protect people's privacy online and give companies and developers tools to build thriving digital businesses. Over her 10 years at Google, she worked as a program manager in Google Payments, Account Security, and Cloud Databases. Before Google, she was a business consultant at Ernst & Young and a software engineer at SAP. Hadas has a Bachelor of Science in computer science from Tel Aviv University, and an Master of Business Administration from the University of Chicago Booth School of Business.",Building the Privacy Sandbox,https://io.google/2022/speakers/547af6f3-892f-49b8-b6e4-3778b76f49be_240.webp
Hadyan Andika,he / him,https://io.google/2022/speakers/hadyan-andika/,Web Ecosystem Consultant,"Hadyan is a web ecosystem consultant at Google, working with partners and Google product teams to improve the quality of web experiences for businesses, developers, and end users through the adoption of latest technologies and best practices. Prior to Google, Hadyan led an engineering team working on web solutions in the high performance computing environment of the oil and gas industry. He has a Bachelor of Science in computer science from University of Indonesia.",Create an instant and seamless web app,https://io.google/2022/speakers/834271b7-3a75-49f7-9f76-d6388707e35d_240.webp
Hannah Highfill,she / her,https://io.google/2022/speakers/hannah-highfill/,User Experience Researcher,"Hannah is a User Experience Researcher with Google's Next Billion Users initiative. She is co-author of “Everyone wants to do the model work, not the data work”: Data Cascades in High-Stakes AI, which won a “best paper” award at CHI 2020. Before joining Google, Hannah was a researcher in France, Turkey, and Thailand and has master's degrees in Islamic Studies and Sociology from Stanford University and the Sorbonne (EPHE).",Building for everyone: The importance of representative data,https://io.google/2022/speakers/133e273d-4f77-4fd1-9dcd-8f76ac462e56_240.webp
Husain Bengali,he / him,https://io.google/2022/speakers/husain-bengali/,"Product Manager, Google Home","Husain has been a product manager at Google for 8 years. Prior to his current role in Smart Home, he worked on Chrome, where his team received an Engineering Emmy for contributions to web media technologies. Husain earned a bachelor's degree in operations research and engineering from Cornell University.",What’s new in Google Home,https://io.google/2022/speakers/f69df65c-a7da-40ad-a8ce-cfa43802386e_240.webp
Ian Lake,he / him,https://io.google/2022/speakers/ian-lake/,Staff Software Engineer,"Ian is a software engineer on the Android Toolkit team at Google. He leads the teams working on the Navigation Component, Fragments, and the integration of fundamental building blocks such as Lifecycle, Saved State, and Activity APIs across Jetpack.",Fragments: The good (non-deprecated) parts,https://io.google/2022/speakers/23feb752-d9c9-4935-92c8-38974189d7b9_240.webp
Ivan Nardini,he / him,https://io.google/2022/speakers/ivan-nardini/,Customer Engineer,Ivan Nardini is a customer engineer specialized in AI/ML and MLOps and passionate about developer advocacy. He started his career in data science in a marketing consulting company after studies conducted at the Luigi Bocconi University of Milan and GSE of Barcelona. He then joined SAS Institute and he supported customers in implementing model governance. Working closely with data science teams allowed him to start getting involved in developer communities and present at events. He is currently collaborating and enabling Data Science developers and practitioners to define and implement MLOps on Vertex AI. His goal is to transform models into assets for companies using Vertex AI. He also leads a world wide hackathon community initiative and he is an active contributor in Google Cloud.,Fraudfinder: A comprehensive solution for real data science problems,https://io.google/2022/speakers/f3eea26c-ba6f-4362-a1c2-a6e5451c0d09_240.webp
Ivy Knight,she / her,https://io.google/2022/speakers/ivy-knight/,"Designer Advocate, Material Design",Ivy is a designer and designer advocate on the Material Design team. She focuses on partner engagement and Material tooling for adoption of Material Design to create beautiful apps on Android.,Migrating to variable fonts,https://io.google/2022/speakers/c9d1537a-c798-446d-8538-4d86b5f22eaf_240.webp
Jaisen Mathai,,https://io.google/2022/speakers/jaisen-mathai/,Product Manager,"Jaisen is the product lead for Google Cloud Functions. Prior to joining Google, Jaisen founded Trovebox which was acquire by Western Digital. He was an early adopter of serverless and now helps build Google's own functions as a service product to enable customers bring products to market more quickly.","Auto alerts for Firebase users with Functions, Logging, and BigQuery",https://io.google/2022/speakers/97ffcdc4-0381-4aea-a847-06c8e513c936_240.webp
Jake Archibald,he / him,https://io.google/2022/speakers/jake-archibald/,Web Developer,Jake is a developer advocate working on the web platform. He once swam to the end of an infinity pool but this hasn't been formally recognized by any sports authority.,What's new for the web platform,https://io.google/2022/speakers/d905efdb-c45d-49f2-a437-b74b18c6b81b_240.webp
Jamal Eason,he / him,https://io.google/2022/speakers/jamal-eason/,Group Product Manager,"Jamal is a product manager for Android developer tools and products at Google. He leads the Android product team that is responsible for setting the product roadmap and features that help developers make great apps for the billions of Android users. Prior to Google, he worked on developer tools at Intel, worked as a product manager at a mobile app startup, and was a telecommunications officer in the US Army. Jamal earned a bachelor's degree in computer science from the US Military Academy (West Point), a master’s degree from University of Maryland Global Campus, and a Master of Business Administration from Harvard Business School.",What’s new in Android development tools,https://io.google/2022/speakers/2aa99846-75c6-4761-961f-c07c273cb7a5_240.webp
James Daniels,,https://io.google/2022/speakers/james-daniels/,"Senior Developer Relations Engineer, Google","James is a full-stack developer with a passion for Open Source. He works on Firebase at Google where he helps with Developer Relations, documentation, workshops, and maintenance of the Firebase SDKs.",The next generation of meta-web frameworks on Firebase,https://io.google/2022/speakers/c1c311c2-7c21-4e13-a08c-8cb0fd536c60_240.webp
James Heather,,https://io.google/2022/speakers/james-heather/,"Engineering Manager, Play Console","James is the engineering manager of the App and Game Quality team in Play Console, where his role is to lead the team in building the right tools to enable Android developers to produce stable and high-performing apps. James oversees products from crash reporting to health metrics (Android vitals) to automated testing (Pre-Launch Report) and beyond. He was for many years an academic in computer security and formal methods, and he holds a doctorate from Royal Holloway, University of London. James is the fourth coolest person in the world, according to his son, who knows about these things.",App quality on Google Play: New features and developer success stories,https://io.google/2022/speakers/2e20a7a2-3ec8-49de-9589-64ac5b908635_240.webp
Jared Finder,he / him,https://io.google/2022/speakers/jared-finder/,Engineering Manager,"Jared is an engineering manager at Google on the Augmented Reality (AR) team. His group is responsible for the SDK surface and camera system for ARCore. He joined Google specifically to work on AR. Before Google, Jared programmed games that ran on PC, console, and mobile platforms with a focus on 3D rendering. He has a Bachelor of Science. from DigiPen Institute of Technology.",What's new in AR,https://io.google/2022/speakers/3e2bc19b-9717-4a9f-a38b-c7c5d8422188_240.webp
Jason Mayes,,https://io.google/2022/speakers/jason-mayes/,"Senior Developer Relations Engineer for TensorFlow.js, Google","Jason is the public face of TensorFlow.js at Google. He helps web engineers around the globe take their first steps with machine learning in JavaScript, pushing the boundaries of what's possible in web-based machine learning which has grown exponentially. He also combines his knowledge of the technical and creative worlds to develop innovative prototypes for Google's largest customers and internal teams with over 15 years experience working within web engineering and investigating emerging technologies.","TensorFlow.js: From prototype to production, what's new in 2022?",https://io.google/2022/speakers/f6f7e469-7139-4d8f-8fa4-28332dedd2f5_240.webp
Jay Civelli,,https://io.google/2022/speakers/jay-civelli/,Software Engineer,"Jay is an engineering lead on the Android Authentication team. His team focuses on helping apps authenticate users with Google and other account providers on all Android form factors (phones, tablets, Wearables, TV, cars, and more). He was an early member of the Chrome and Chrome for Android teams. Prior to Google, Jay worked at Borland focusing on the development of Java performance tools.",Android solutions for seamless sign-in across devices,https://io.google/2022/speakers/00b898bd-d301-41c9-b2f1-9c06c5cab90a_240.webp
Jecelyn Yeen,she / her,https://io.google/2022/speakers/jecelyn-yeen/,"Developer advocate, Chrome DevTools","Jecelyn is a developer advocate on the Chrome team, focusing on DevTools and testing. Previously, she was the software architect at Randstad. Jecelyn is the host of two web development video series: ""What’s New in DevTools"" and ""DevTools Tips.""",DevTools: State of the Union 2022,https://io.google/2022/speakers/cd4d7c00-5f4b-485e-acd2-793cfa5c0488_240.webp
Jeff Huleatt,he / him,https://io.google/2022/speakers/jeff-huleatt/,Developer Relations Engineer,"Jeff is a Developer Relations engineer for Firebase, and he's excited to help people make cool stuff on the web. Jeff works to make Firebase better for web developers with open source projects like the Firebase Emulator Suite, Firebase Hosting Github Action, and ReactFire.",Integrate Firebase into your team's development workflow,https://io.google/2022/speakers/57a1eb56-1a3a-4086-858d-678797bf44d9_240.webp
Jen Gennai,,https://io.google/2022/speakers/jen-gennai/,"Director, Responsible Innovation","Jen founded, and now leads, Google’s Responsible Innovation team, which operationalizes Google’s AI Principles to ensure that Google’s products have fair and ethical outcomes on individuals and society broadly. Her team works with product and engineering teams, leveraging a multidisciplinary group of experts in ethics, human rights, user research, and racial justice to validate that outputs align with our commitments to fairness, privacy, safety, societal benefit, and accountability to people. Before she co-authored the AI Principles with a multi-disciplinary group of experts in 2017 and established the Responsible Innovation team in 2018, Jen led user research in Trust and Safety and founded the product fairness testing team. She has been in Google for 15 years.",Responsible AI review processes: From a developer’s point of view,https://io.google/2022/speakers/ea7b2f7e-0535-44e7-a358-aee2c3830f79_240.webp
Jenine Durland,she / her,https://io.google/2022/speakers/jenine-durland/,Head of UX Accessibility Training,"Since joining the company in 2015, Jenine has built Google's accessible design framework and related training programs. She brings deep expertise in interaction design, accessibility, and poetry together to help make products more usable and enjoyable for everyone.",Introducing Google's Accessible Design Framework,https://io.google/2022/speakers/95a94f75-1082-4034-a577-054b4028390f_240.webp
Jennifer Chui,she / her,https://io.google/2022/speakers/jennifer-chui/,Technical Program Manager,"Jen is a technical program manager on the Android Auto team. She focuses on the developer platforms for cars, which enables Android developers to bring their app experiences into cars.",What's new with Android for Cars,https://io.google/2022/speakers/8ed010ac-5d77-48e6-98be-24e202715635_240.webp
Jenny Cong,she / her,https://io.google/2022/speakers/jenny-cong/,Software Engineer,"Jenny is a software engineer for Firebase Performance Monitoring, helping developers discover performance issues in a timely manner. She’s passionate about improving development tools for developers to create better apps with ease and efficiency. She graduated from University of California, Berkeley, with a bachelor’s degree in computer science.",Optimize app health with Firebase performance monitoring & Crashlytics,https://io.google/2022/speakers/671b2232-2b82-4908-85c6-ccc8ed027c5e_240.webp
Jesse Williams,she / her,https://io.google/2022/speakers/jesse-williams/,Design Lead for Play Developer,"Jesse is the design lead for Play Developer, overseeing design systems and creative direction across all product areas. Over the last 5 years, Jesse has led a complete redesign of Play Console, evolved data visualization patterns, and defined art and design direction across the Play Developer ecosystem. Jesse is passionate about using visual design to create useful, joyful experiences that help developers succeed on Play.",What's new in Google Play,https://io.google/2022/speakers/6ad03bd0-c4d0-48ff-a183-75b03a694d40_240.webp
Jessica Earley-Cha,she / her,https://io.google/2022/speakers/jessica-earley-cha/,Developer Relations Engineer,"Jessica, is a Developer Relations engineer for Google Assistant. She has been teaching developers how to build voice applications and App Actions for 4 years. Jessica is @WomenInVoice Advocate, former @WomenTechmakers & @gdg lead, former @girldevelopit & @Hackbright teacher. You’ll find her either spending time with her dog, collecting strawberry knick knacks, or biking around town.",Car talk: Assistant and Android for cars,https://io.google/2022/speakers/2b28975d-9bed-4c62-afdc-6b7ec77712e0_240.webp
Jessica Jong,she / her,https://io.google/2022/speakers/jessica-jong/,Senior Technical Solutions Engineer,"Jessica is a senior technical solution engineer on the Nest Partner Engineering team. She helps Smart Home partners integrate their products into the Google Home ecosystem. Prior to Google, Jessica was a software engineer at Mozilla working on Firefox browser.",Analytics and tools for Google Home projects,https://io.google/2022/speakers/db094709-d984-46a2-b525-fac9c0c423e9_240.webp
Jian Zhou,she / her,https://io.google/2022/speakers/jian-zhou/,Senior Engineering Manager,"Jian is a senior engineer manager for Google Play, where she leads the subscriptions platform and Google Play Pass teams. In her role, Jian is focused on helping developers monetize through their apps and games. Specifically, she is responsible for building tools to grow recurring revenue on a global scale as well as managing Play Pass, a program that helps developers better engage and retain their customers.","Power your success with new acquisition, engagement and monetization tools",https://io.google/2022/speakers/c64b77b5-1842-45be-ac63-436a20110d07_240.webp
Jing Ji,he / him,https://io.google/2022/speakers/jing-ji/,Software Engineer,"Jing is a software engineer in Google Android framework team, specializing in Android activity manager, application process management, battery optimization, and performance tuning. Prior to joining Google, he worked in Motorola Mobility, focusing on Android development for more than 10 years. Jing graduated from Southeast University in China.",Managing background work on Android,https://io.google/2022/speakers/1046bbda-82b7-4930-8880-d1ce71a91062_240.webp
John Kimani,he / him,https://io.google/2022/speakers/john-kimani/,Program Manager,"John is a program manager on Google’s Developer Ecosystem team, where he leads developer training in Africa. He is passionate about mobile and cloud technologies and has been working with developers and startups in Africa for the last 10 years. John holds a master's degree in computer science from the University of Nairobi.",Africa’s booming developer ecosystem,https://io.google/2022/speakers/8974ac8b-07dd-4e4c-82e5-36b4d89ebd69_240.webp
John McDole,he / him,https://io.google/2022/speakers/john-mcdole/,Senior Staff Software Engineer,"John is the Uber TL for Stadia's UI Team. He founded the Stadia Mobile team, using Flutter to launch on Android and iOS, and founded the Stadia TV team using Dart. Prior to this he managed the Google Fiber TV UI team and worked on the original Dart compiler. Before joining Google in 2011, John was a software engineering lead at Nagravision Atlanta, working on TV and DVR software. He studied computer science at the Georgia Institute of Technology, graduating in 2002.",Real-world Flutter lessons for federated plugin development,https://io.google/2022/speakers/3b085703-08af-4cdf-837e-8d11623f8f75_240.webp
John Mueller,he / him,https://io.google/2022/speakers/john-mueller/,Search Advocate,"John coordinates Google Search Relations efforts as a Search advocate. He and his team connect the Google-internal world of Search engineering, to those who create and optimize public websites. Together, they help to bring an understanding of the external web ecosystem to internal teams, and help publishers make awesome websites that work well for users and search engines. John joined Google in 2007 and works in Zurich, Switzerland.",The latest on Google Search for site owners,https://io.google/2022/speakers/661b03e2-8fdd-40f6-b95b-c721a6cddd50_240.webp
Jolanda Verhoef,she / her,https://io.google/2022/speakers/jolanda-verhoef/,Developer Relations Engineer,"Jolanda is an Android developer relations engineer at Google. Her primary focus is to help developers write high-quality accessible and testable Compose code. Since writing and publishing her first Android app over 10 years ago, she has created apps for news startup Blendle, consumer electronics store Coolblue, and the Covid Exposure Notification app in the Netherlands.",Basic layouts in Compose,https://io.google/2022/speakers/8bb8183d-0cab-4617-b637-36f210650d7d_240.webp
Jon Markoff,he / him,https://io.google/2022/speakers/jon-markoff/,Staff Developer Advocate,"Jon is a developer advocate at Google focusing on the Privacy Sandbox on Android initiative. In his role, he ensures that Android is a developer friendly platform, teaches developers best practices, and builds libraries to make developers lives easier. Jon is the creator and maintainer of Jetpack Security, which helps developers encrypt data-at-rest properly and is part of the Android Open Source Project. Before Google, Jon built software for large financial companies and was an embedded software engineer on the Presidential Helicopter at Lockheed Martin. Jon holds a Bachelor of Science in computer science from State University of New York at Oswego.",Overview of the Privacy Sandbox on Android,https://io.google/2022/speakers/c5a12e94-14eb-4e6f-941a-3f8ae8ba9977_240.webp
Jose Ugia,he / him,https://io.google/2022/speakers/jose-ugia/,Developer Relations Engineer,"Jose is a developer programs engineer on the Google Pay team looking after the developer experience for the online payment APIs related community and learning activities. He is also an author, volunteer, and trainer with 15 years of experience in technology on projects like Wunderlist and Google Cloud.",Digitize your passes with the Google Pay API for Passes,https://io.google/2022/speakers/ab9fe744-7e82-4a8e-92e9-3ebf809586e6_240.webp
Julia Feldman,,https://io.google/2022/speakers/julia-feldman/,UX Researcher,"Julia is a UX researcher on Google's Material Design team. She received her doctorate in social and health psychology from Stony Brook University. Before Google, Julia was a researcher in the digital health space.",Let’s get personal: Designing accessibility for individuals,https://io.google/2022/speakers/1d6bc57c-0d78-4257-82db-92c7134b014c_240.webp
Justin McCandless,,https://io.google/2022/speakers/justin-mccandless/,Software Engineer,"After nearly a decade building user-facing web and mobile apps and using too many frameworks to count, Justin joined Google in 2018 to help build the Flutter framework itself. He works on creating Flutter’s text editing experience across all of its platforms, and he’s proud to get to spend most of his time contributing to open source software and being a part of the amazing Flutter community. Justin lives in San Francisco with his wife and one year old son.",Write a Flutter desktop application,https://io.google/2022/speakers/cf059dfb-5c9c-40f1-8bd6-dd16dc356789_240.webp
Kara Yu,she / her,https://io.google/2022/speakers/kara-yu/,Product Manager,"Kara is a product manager at Google, where she leads Firebase Platform and Extensions. She is passionate about helping developers accelerate their app development. Prior to Firebase, she worked as a product manager on YouTube Music. Prior to Google, she worked at Meteor and was involved with developing Scratch while at the MIT Media Lab. She earned bachelor's degrees in economics and math with computer science from MIT and a Master of Business Administration from Harvard Business School.",What's new in Firebase,https://io.google/2022/speakers/62616c71-70f9-4cbc-af83-68a75381c172_240.webp
Karen Ng,she / her,https://io.google/2022/speakers/karen-ng/,Material Design Accessibility UX Lead,"Karen Ng is a design lead at Google where she leads the Material Design Accessibility UX team. She serves on the board of Hexagon, a non-profit for women and non-binary individuals in UX. Previously, she worked on the Local Services Ads team. She has a Bachelor of Arts in economics and East Asian studies from New York University and a Master of Fine Arts in Interaction Design from School of Visual Arts.",Let’s get personal: Designing accessibility for individuals,https://io.google/2022/speakers/d0beb585-fd76-41ac-94c0-57484d52d57c_240.webp
Karen Zeng,she / her,https://io.google/2022/speakers/karen-zeng/,Software Engineer,"Karen is a software engineer working on Firebase Remote Config, with a focus on helping developers optimize their app experience for users. Prior to Google she worked on building advertiser tools at Instagram. Outside of work she enjoys exploring the city and playing tennis.",From testing to production: How to ship stable features with Firebase,https://io.google/2022/speakers/74ffd577-264d-49f9-8de4-53236effc863_240.webp
Karol�na Netolick�,she / her,https://io.google/2022/speakers/karolina-netolicka/,Product Manager,"Karolina is a product manager on the Cloud Run team. In her role, she helps customers transform their infrastructure to use scalable serverless cloud services. Karolina has been at Google since 2005 and has previously worked as a software engineer on search infrastructure and a product manager on Google My Business and Google Finance. Karolina has graduate and undergraduate degrees in Computer Science from MIT. In her spare time, Karolina plays keyboard in a rock band, gardens, and spends time with her family.",Run your jobs on serverless,https://io.google/2022/speakers/a499ec63-6173-4589-9815-e11cf897db70_240.webp
Karthic Veera,he / him,https://io.google/2022/speakers/karthic-veera/,Product Manager,"Karthic Veera leads product for the Android Media team. This includes audio, video, ExoPlayer and other support libraries that power the multimedia experiences on Android devices. Prior to Google, Karthic managed the IOT Home Entertainment business at Qualcomm, helping launch category defining products in smart displays, video conferencing, and other media devices. Karthic has a Master of Business Administration from Marshall School of Business and a Master of Science in electrical engineering from Viterbi School of Engineering, both at the University of Southern California,",What's new in Android media,https://io.google/2022/speakers/b0ad5a8d-feda-4a1d-b4d0-33b5025efe29_240.webp
Kaustubha Govind,she / her,https://io.google/2022/speakers/kaustubha-govind/,Engineering Manager,"Kaustubha is an engineering manager at Google, and works on the Chrome team. She leads a team of software engineers responsible for delivering privacy and security improvements to the web platform. Prior to Google, Kaustubha worked at MathWorks, Inc. and built software for modeling and simulation of multi-domain systems. She has a master's degree in electrical engineering from the University of Pennsylvania.",Building the Privacy Sandbox,https://io.google/2022/speakers/a1628cdb-8b6e-4fa4-8b11-f1fa7becb635_240.webp
Kenneth Ford,he / him,https://io.google/2022/speakers/kenneth-ford/,Software Engineer,"Kenneth is a software engineer working on the Foldables team within Android. Within this he works on both the Android platform as well as the Jetpack WindowManager library. Previously, he was a developer relations engineer on the Chrome OS team helping developers build better large screen experiences.",Update your app for the larger screen,https://io.google/2022/speakers/5b16db17-35a4-48ea-9c3f-00780adcf627_240.webp
Kevin Flanagan,he / him,https://io.google/2022/speakers/kevin-flanagan/,"Staff Technical Solutions Consultant, Partner Engineering","Kevin leads partner engineering for Wallet and gPay. Previously he was an architect in Google Cloud, where he helped Fortune 500 companies with their journey to the cloud. Prior to Google, Kevin spent twenty years in software engineering roles, focused primarily in the media delivery space. Kevin earned a Bachelor of Science in computer science from Worcester Polytechnic Institute and a Master of Science in computer science from the University of Colorado.",What's new for Google Pay Passes,https://io.google/2022/speakers/a15ba2d8-9146-4d47-afa6-7da2556104bf_240.webp
Kevin Moore,he / him,https://io.google/2022/speakers/kevin-moore/,Product Manager,"Kevin has been on the Flutter and Dart team for over eight years – before Dart was null-safe or even fully sound. He helps efforts to support Flutter and Dart on the web and the cloud. He also helps with the package ecosystem. Before Google, Kevin was an independent software architect. He graduated from Iowa State University with a Bachelor of Science in computer engineering.",Web apps with Flutter: A love letter to modern browsers,https://io.google/2022/speakers/224f8df9-aa33-4eed-9cd9-84e940ae1130_240.webp
Khanh LeViet,he / him,https://io.google/2022/speakers/khanh-leviet/,Developer Advocate,"Khanh is a TensorFlow developer advocate at Google, helping developers to create amazing applications with Edge AI. He speaks at technology conferences, and writes and publishes sample code on GitHub. Before his journey with AI, Khanh was a mobile developer working on both Android and iOS.",Making smart IoT devices with TensorFlow Lite and Raspberry Pi,https://io.google/2022/speakers/9a201073-f54f-4260-87ab-00a264a41536_240.webp
Khanh Nguyen,she / her,https://io.google/2022/speakers/khanh-nguyen/,Developer Relations Engineer,"Khanh is a developer relations engineer on the Flutter team at Google. She's passionate about working at the intersection of technology and content creation to lower the barrier entry for Flutter developers. Prior to joining Google, she worked in web development and testing. She earned a bachelor's degree in computer science from Drexel University.",Take a Flutter app from boring to beautiful,https://io.google/2022/speakers/709e9dd5-a6f1-4edf-8cd0-801c76a3dec2_240.webp
